"","seqnames","start","end","width","strand","idr_name","scaled_idr","idr_strand","local_idr","global_idr","rep1_chromstart","rep1_chromend","rep1_signal","rep2_chromstart","rep2_chromend","rep2_signal","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes"
"19","chr8",123949217,123949459,243,"*",".",841,".",1.97,2.03,123949216,123949427,63.25395,123949236,123949459,65.70139,"Promoter",8,123897123,123949265,52143,2,"234865","ENSMUST00000044795","7",0,"ENSMUSG00000039509"
"20","chr19",10949102,10949427,326,"*",".",860,".",2.04,2.07,10949191,10949423,61.30006,10949101,10949427,80.11336,"Promoter",19,10941481,10949266,7786,2,"108673","ENSMUST00000025639","6",0,"ENSMUSG00000024732"
"21","chr12",33147378,33148505,1128,"*",".",877,".",2.1,2.11,33147540,33148145,60.78487,33147377,33148505,103.01095,"Promoter",12,33111711,33147586,35876,2,"320046","ENSMUST00000140105","7",0,"ENSMUSG00000052125"
"22","chr5",143329054,143329344,291,"*",".",849,".",2,2.05,143329169,143329327,59.80734,143329053,143329344,66.55855,"Promoter",5,143329247,143332704,3458,1,"67672","ENSMUST00000160231","1",0,"ENSMUSG00000089889"
"23","chr8",119910621,119911866,1246,"*",".",862,".",2.05,2.08,119910754,119911866,59.80734,119910620,119911859,80.11336,"Promoter",8,119910841,124345722,4434882,1,"108148","ENSMUST00000127664","1",0,"ENSMUSG00000092329"
"24","chrX",38189306,38190017,712,"*",".",867,".",2.06,2.09,38189411,38189954,58.32244,38189305,38190017,81.65101,"Promoter",20,38189793,38197046,7254,1,"56805","ENSMUST00000049740","2",0,"ENSMUSG00000048047"
"25","chr17",25184260,25184762,503,"*",".",864,".",2.05,2.08,25184341,25184629,58.21714,25184259,25184762,78.58179,"Promoter",17,25184554,25187662,3109,1,"214489","ENSMUST00000088307","4",0,"ENSMUSG00000067722"
"26","chr19",4120946,4121711,766,"*",".",875,".",2.09,2.11,4120945,4121703,53.16076,4121017,4121711,88.90999,"Promoter",19,4114464,4121575,7112,2,"11632","ENSMUST00000025767","13",0,"ENSMUSG00000024847"
"27","chr2",73312518,73312684,167,"*",".",808,".",1.82,1.95,73312522,73312684,62.80046,73312517,73312669,52.7806,"Promoter",2,73285017,73312567,27551,2,"66935","ENSMUST00000136519","2",0,"ENSMUSG00000041777"
"28","chr5",124579023,124579197,175,"*",".",855,".",2.03,2.06,124579022,124579180,52.46393,124579022,124579197,66.55855,"Promoter",5,124570213,124579131,8919,2,"209354","ENSMUST00000031334","14",0,"ENSMUSG00000029388"
"29","chr7",5079951,5080295,345,"*",".",866,".",2.06,2.09,5079950,5080285,51.02036,5079963,5080295,74.02436,"Promoter",7,5080235,5098178,17944,1,"13854","ENSMUST00000098845","9",0,"ENSMUSG00000035203"
"30","chr7",99381253,99381922,670,"*",".",816,".",1.84,1.97,99381274,99381617,52.46393,99381252,99381922,49.63212,"Promoter",7,99381414,99461877,80464,1,"233552","ENSMUST00000037528","9",0,"ENSMUSG00000035314"
"31","chr17",27839980,27840186,207,"*",".",831,".",1.91,2,27839979,27840176,49.44094,27839979,27840186,51.29227,"Promoter",17,27840084,27851968,11885,1,"20630","ENSMUST00000137581","2",0,"ENSMUSG00000024217"
"32","chr15",58872506,58872720,215,"*",".",868,".",2.07,2.09,58872524,58872702,48.55552,58872505,58872720,75.2009,"Promoter",15,58872674,58877127,4454,1,"68260","ENSMUST00000036937","8",0,"ENSMUSG00000037085"
"33","chr15",36173802,36174174,373,"*",".",852,".",2.01,2.05,36173933,36174174,48.21541,36173801,36174096,60.11009,"Promoter",15,36174010,36177007,2998,1,"17749","ENSMUST00000180159","7",0,"ENSMUSG00000045996"
"34","chr2",31974286,31974576,291,"*",".",850,".",2.01,2.05,31974312,31974502,48.15969,31974285,31974576,58.05849,"Promoter",2,31974436,32052371,77936,1,"227720","ENSMUST00000065398","12",0,"ENSMUSG00000001855"
"35","chr5",112326235,112326454,220,"*",".",856,".",2.03,2.06,112326260,112326443,48.15969,112326234,112326454,62.16154,"Promoter",5,112326358,112338073,11716,1,"54723","ENSMUST00000031288","13",0,"ENSMUSG00000029345"
"36","chr8",121829500,121829737,238,"*",".",863,".",2.05,2.08,121829499,121829656,48.15969,121829500,121829737,68.03826,"Promoter",8,121796313,121829569,33257,2,"234825","ENSMUST00000045884","16",0,"ENSMUSG00000040263"
"37","chr15",78913648,78914016,369,"*",".",831,".",1.91,2,78913667,78913995,48.10781,78913647,78914016,50.18563,"Promoter",15,78913919,78919517,5599,1,"57028","ENSMUST00000089378","4",0,"ENSMUSG00000116165"
"38","chr2",29827172,29827445,274,"*",".",809,".",1.83,1.95,29827267,29827407,51.02036,29827171,29827445,47.62136,"Promoter",2,29827342,29843374,16033,1,"68205","ENSMUST00000156944","7",0,"ENSMUSG00000069020"
"39","chr14",31494863,31495262,400,"*",".",834,".",1.92,2.01,31494862,31495142,47.1751,31494862,31495262,50.72524,"Promoter",14,31473578,31495008,21431,2,"67011","ENSMUST00000227777","1",0,"ENSMUSG00000021891"
"40","chr18",34330817,34331204,388,"*",".",859,".",2.04,2.07,34331029,34331204,46.35531,34330816,34331203,63.62008,"Promoter",18,34330847,34336345,5499,1,"66384","ENSMUST00000126518","7",0,"ENSMUSG00000014504"
"41","chr15",79074933,79075256,324,"*",".",795,".",1.78,1.92,79075109,79075248,52.40882,79074932,79075256,46.24514,"Promoter",15,79075179,79094405,19227,1,"223691","ENSMUST00000040518","5",0,"ENSMUSG00000033047"
"42","chr15",58933685,58933833,149,"*",".",861,".",2.05,2.07,58933685,58933822,45.74852,58933684,58933833,65.60531,"Promoter",15,58933756,58939488,5733,1,"66218","ENSMUST00000022980","4",0,"ENSMUSG00000022354"
"43","chr5",32713952,32714319,368,"*",".",822,".",1.86,1.98,32713956,32714192,45.33555,32713951,32714319,45.8584,"Exon (ENSMUST00000202098.1/ENSMUST00000202098.1, exon 1 of 1)",5,32737898,32740384,2487,2,"320951","ENSMUST00000201314","1",26065,"ENSMUSG00000023452"
"44","chr8",126971021,126971195,175,"*",".",806,".",1.82,1.94,126971054,126971195,45.84977,126971020,126971191,45.08891,"Promoter",8,126947172,126971071,23900,2,"52202","ENSMUST00000045994","7",0,"ENSMUSG00000033931"
"45","chr11",120796352,120796551,200,"*",".",859,".",2.04,2.07,120796358,120796520,44.95666,120796351,120796551,62.7272,"Promoter",11,120789201,120796403,7203,2,"68730","ENSMUST00000106135","7",0,"ENSMUSG00000025155"
"46","chr3",69316686,69317670,985,"*",".",870,".",2.07,2.1,69316685,69317519,44.58378,69316685,69317670,84.12727,"Promoter",3,69316861,69560802,243942,1,"242083","ENSMUST00000029355","8",0,"ENSMUSG00000027784"
"47","chr10",108331661,108332523,863,"*",".",853,".",2.02,2.06,108331903,108332275,44.55332,108331660,108332523,56.72833,"Promoter",10,108332121,108414240,82120,1,"114774","ENSMUST00000095313","4",0,"ENSMUSG00000035873"
"48","chr17",56461362,56462755,1394,"*",".",839,".",1.95,2.02,56461806,56462422,43.93766,56461361,56462755,50.76669,"Promoter",17,56412431,56462216,49786,2,"19280","ENSMUST00000086828","9",0,"ENSMUSG00000013236"
"49","chr6",91440873,91441133,261,"*",".",855,".",2.03,2.06,91440872,91441026,42.96922,91440875,91441133,59.26645,"Promoter",6,91440987,91441755,769,1,"69798","ENSMUST00000186472","1",0,"ENSMUSG00000100680"
"50","chr16",31948412,31948634,223,"*",".",801,".",1.79,1.93,31948411,31948634,43.39497,31948424,31948631,42.58948,"Promoter",16,31947050,31948494,1445,2,"106264","ENSMUST00000202722","1",0,"ENSMUSG00000107002"
"51","chr11",95858547,95859133,587,"*",".",846,".",1.99,2.04,95858638,95859049,42.54952,95858546,95859133,53.0851,"Promoter",11,95858865,95861044,2180,1,"73906","ENSMUST00000146868","1",0,"ENSMUSG00000086015"
"52","chr19",45006388,45006561,174,"*",".",854,".",2.03,2.06,45006406,45006547,42.54952,45006387,45006561,59.26645,"Promoter",19,45006558,45012762,6205,1,"226153","ENSMUST00000026227","2",0,"ENSMUSG00000025209"
"53","chr5",142401263,142401696,434,"*",".",849,".",2,2.05,142401262,142401576,42.54952,142401312,142401696,54.98075,"Promoter",5,142401497,142419620,18124,1,"17425","ENSMUST00000198422","1",0,"ENSMUSG00000056493"
"54","chr8",107056625,107056942,318,"*",".",847,".",2,2.04,107056652,107056939,42.54952,107056624,107056942,54.08926,"Promoter",8,107056877,107060931,4055,1,"66164","ENSMUST00000034392","12",0,"ENSMUSG00000031917"
"55","chr6",124965406,124965641,236,"*",".",842,".",1.97,2.03,124965425,124965638,42.01414,124965405,124965641,50.76669,"Promoter",6,124958413,124965538,7126,2,"26894","ENSMUST00000112439","8",0,"ENSMUSG00000030127"
"56","chr11",119299920,119300201,282,"*",".",856,".",2.03,2.06,119300019,119300201,41.95876,119299919,119300174,61.47876,"Promoter",11,119288363,119300089,11727,2,"192170","ENSMUST00000026667","14",0,"ENSMUSG00000025580"
"57","chr17",24073269,24073754,486,"*",".",848,".",2,2.04,24073419,24073754,41.92197,24073268,24073743,54.38245,"Promoter",17,24047734,24073485,25752,2,"69259","ENSMUST00000017090","5",0,"ENSMUSG00000016946"
"58","chr17",47611462,47611730,269,"*",".",765,".",1.64,1.84,47611489,47611645,51.0811,47611461,47611730,41.66956,"Promoter",17,47611589,47650289,38701,1,"112694759","ENSMUST00000146105","7",0,"ENSMUSG00000023984"
"59","chr11",97766509,97766684,176,"*",".",776,".",1.71,1.87,97766518,97766675,46.72655,97766508,97766684,41.28653,"Promoter",11,97745615,97766556,20942,2,"67480","ENSMUST00000018685","8",0,"ENSMUSG00000018541"
"60","chr11",87737390,87737712,323,"*",".",844,".",1.98,2.03,87737389,87737586,41.17134,87737441,87737712,52.16317,"Promoter",11,87737552,87743617,6066,1,"20922","ENSMUST00000093955","11",0,"ENSMUSG00000020485"
"61","chr2",29935279,29935555,277,"*",".",858,".",2.04,2.07,29935301,29935499,41.17134,29935278,29935555,66.55855,"Promoter",2,29935426,29960371,24946,1,"74412","ENSMUST00000019859","8",0,"ENSMUSG00000019715"
"62","chr4",49631912,49632129,218,"*",".",825,".",1.89,1.99,49631930,49632110,41.17134,49631911,49632129,45.08891,"Promoter",4,49632006,49638702,6697,1,"109331","ENSMUST00000140341","7",0,"ENSMUSG00000028309"
"63","chr9",22156640,22157675,1036,"*",".",802,".",1.8,1.93,22156664,22157319,41.17134,22156639,22157675,41.35255,"Promoter",9,22156846,22158358,1513,1,"66268","ENSMUST00000123680","1",0,"ENSMUSG00000010607"
"64","chr2",172440374,172440641,268,"*",".",813,".",1.84,1.96,172440391,172440641,40.81873,172440373,172440634,42.58948,"Promoter",2,172440556,172469908,29353,1,"66404","ENSMUST00000029005","3",0,"ENSMUSG00000027502"
"65","chr12",55398682,55398890,209,"*",".",857,".",2.03,2.06,55398685,55398887,40.75323,55398681,55398890,76.16428,"Promoter",12,55398775,55418454,19680,1,"26443","ENSMUST00000021412","8",0,"ENSMUSG00000021024"
"66","chr6",124712011,124712337,327,"*",".",851,".",2.01,2.05,124712041,124712337,40.75323,124712010,124712333,56.40155,"Promoter",6,124712336,124713068,733,1,"12034","ENSMUST00000150847","7",0,"ENSMUSG00000004264"
"67","chr11",96034701,96035075,375,"*",".",775,".",1.71,1.87,96034815,96034976,45.23399,96034700,96035075,40.73813,"Promoter",11,96034885,96047430,12546,1,"27681","ENSMUST00000006217","9",0,"ENSMUSG00000006058"
"68","chr15",5116274,5116801,528,"*",".",850,".",2.01,2.05,5116515,5116688,40.73407,5116273,5116801,55.72827,"Promoter",15,5116645,5119140,2496,1,"67281","ENSMUST00000045356","8",0,"ENSMUSG00000041841"
"69","chr11",35834449,35834657,209,"*",".",846,".",1.99,2.04,35834465,35834655,39.80336,35834448,35834657,53.56791,"Promoter",11,35808381,35834506,26126,2,"104458","ENSMUST00000018992","3",0,"ENSMUSG00000018848"
"70","chr12",102757727,102757932,206,"*",".",847,".",2,2.04,102757743,102757890,39.80336,102757726,102757932,54.98075,"Promoter",12,102719975,102757765,37791,2,"100233175","ENSMUST00000179306","1",0,"ENSMUSG00000098530"
"71","chr3",129831115,129831516,402,"*",".",837,".",1.94,2.02,129831115,129831473,39.80336,129831114,129831516,47.62136,"Promoter",3,129824912,129831396,6485,2,"68147","ENSMUST00000029643","14",0,"ENSMUSG00000028010"
"72","chr5",114100187,114100354,168,"*",".",843,".",1.97,2.03,114100197,114100354,39.80336,114100186,114100354,50.76669,"Promoter",5,114100315,114124720,24406,1,"100756","ENSMUST00000031588","11",0,"ENSMUSG00000029592"
"73","chr11",44470450,44470734,285,"*",".",792,".",1.76,1.91,44470460,44470598,40.51778,44470449,44470734,39.65844,"Promoter",11,44454571,44470498,15928,2,"79560","ENSMUST00000102795","3",0,"ENSMUSG00000041231"
"74","chr15",89355603,89355821,219,"*",".",823,".",1.87,1.98,89355602,89355806,39.19833,89355645,89355821,43.29941,"Promoter",15,89351004,89355659,4656,2,"105847","ENSMUST00000023283","5",0,"ENSMUSG00000022614"
"75","chr6",86684438,86684630,193,"*",".",852,".",2.01,2.05,86684466,86684630,38.68922,86684437,86684623,74.02436,"Promoter",6,86675151,86684522,9372,2,"66618","ENSMUST00000001186","10",0,"ENSMUSG00000001158"
"76","chr2",69722745,69722880,136,"*",".",789,".",1.75,1.9,69722744,69722866,40.00027,69722746,69722880,38.59873,"Promoter",2,69722805,69754012,31208,1,"228005","ENSMUST00000090858","9",0,"ENSMUSG00000042133"
"77","chr19",31082622,31083038,417,"*",".",847,".",2,2.04,31082645,31083028,38.44583,31082621,31083038,56.40155,"Promoter",19,31082837,31087069,4233,1,"83410","ENSMUST00000066039","7",0,"ENSMUSG00000053536"
"78","chr2",127208173,127208445,273,"*",".",840,".",1.96,2.02,127208192,127208445,38.44583,127208172,127208438,49.37863,"Promoter",2,127208386,127222717,14332,1,"320632","ENSMUST00000142327","1",0,"ENSMUSG00000003660"
"79","chr4",155943718,155943871,154,"*",".",844,".",1.98,2.03,155943717,155943853,38.44583,155943733,155943871,52.16317,"Promoter",4,155943831,155957711,13881,1,"140499","ENSMUST00000103175","7",0,"ENSMUSG00000023286"
"80","chrX",101273934,101274381,448,"*",".",848,".",2,2.04,101273946,101274305,38.44583,101273933,101274381,58.09925,"Promoter",20,101274030,101297465,23436,1,"59024","ENSMUST00000117706","7",0,"ENSMUSG00000079487"
"81","chr18",60774491,60774704,214,"*",".",734,".",1.52,1.77,60774490,60774679,50.51903,60774517,60774704,37.86464,"Promoter",18,60774596,60778546,3951,1,"20044","ENSMUST00000025511","10",0,"ENSMUSG00000024608"
"82","chr13",100104030,100104172,143,"*",".",784,".",1.73,1.89,100104029,100104172,39.80336,100104035,100104170,37.69499,"Promoter",13,100017994,100104070,86077,2,"544971","ENSMUST00000038104","11",0,"ENSMUSG00000049658"
"83","chr1",118321718,118321890,173,"*",".",835,".",1.93,2.01,118321729,118321885,37.53539,118321717,118321890,46.35109,"Promoter",1,118321839,118333822,11984,1,"67949","ENSMUST00000027626","12",0,"ENSMUSG00000026377"
"84","chr11",83298844,83299095,252,"*",".",829,".",1.91,2,83298903,83299095,37.53539,83298843,83299078,45.13735,"Promoter",11,83294642,83298977,4336,2,"103737","ENSMUST00000018877","8",0,"ENSMUSG00000018733"
"85","chr15",8109205,8109391,187,"*",".",787,".",1.74,1.9,8109215,8109373,37.52776,8109204,8109391,37.5218,"Promoter",15,8109273,8161247,51975,1,"170762","ENSMUST00000163765","2",0,"ENSMUSG00000022142"
"86","chr1",90603212,90603605,394,"*",".",833,".",1.92,2.01,90603308,90603508,37.09899,90603211,90603605,45.26667,"Promoter",1,90603476,90613124,9649,1,"108679","ENSMUST00000191510","6",0,"ENSMUSG00000034432"
"87","chr19",27429782,27430062,281,"*",".",789,".",1.75,1.9,27429783,27429910,37.09899,27429781,27430062,37.69499,"Promoter",19,27388698,27429825,41128,2,"52874","ENSMUST00000076219","5",0,"ENSMUSG00000041360"
"88","chr1",79775991,79776223,233,"*",".",640,".",1.18,1.54,79775992,79776142,64.3084,79775990,79776223,36.4651,"Promoter",1,79776018,79781445,5428,1,"69163","ENSMUST00000027464","8",0,"ENSMUSG00000026248"
"89","chr10",111298536,111298742,207,"*",".",840,".",1.96,2.02,111298547,111298742,36.3903,111298535,111298727,50.37109,"Promoter",10,111298679,111301727,3049,1,"71769","ENSMUST00000040454","4",0,"ENSMUSG00000035759"
"90","chr15",81399721,81400208,488,"*",".",807,".",1.82,1.94,81400036,81400196,36.3903,81399720,81400208,40.63313,"Promoter",15,81400138,81457482,57345,1,"321003","ENSMUST00000163754","8",0,"ENSMUSG00000022401"
"91","chr19",5731660,5731972,313,"*",".",824,".",1.88,1.99,5731659,5731831,36.35687,5731666,5731972,42.71281,"Promoter",19,5728088,5731713,3626,2,"17826","ENSMUST00000160852","7",0,"ENSMUSG00000118125"
"92","chr6",6955736,6956045,310,"*",".",832,".",1.92,2.01,6955849,6955978,36.12612,6955735,6956045,45.26667,"Promoter",6,6956004,7042979,86976,1,"71238","ENSMUST00000040826","5",0,"ENSMUSG00000042505"
"93","chr1",161131403,161131610,208,"*",".",746,".",1.57,1.8,161131466,161131610,43.39497,161131402,161131589,36.09808,"Promoter",1,161088375,161131511,43137,2,"226541","ENSMUST00000111611","7",0,"ENSMUSG00000026705"
"94","chr1",97769989,97770232,244,"*",".",843,".",1.98,2.03,97769988,97770224,35.80277,97770018,97770232,60.73953,"Promoter",1,97770172,97792969,22798,1,"252876","ENSMUST00000112844","9",0,"ENSMUSG00000026333"
"95","chr17",56256549,56256786,238,"*",".",806,".",1.82,1.94,56256589,56256786,35.76313,56256548,56256782,39.91283,"Promoter",17,56256810,56263610,6801,1,"14154","ENSMUST00000060253","4",-24,"ENSMUSG00000043683"
"96","chr2",90904670,90904799,130,"*",".",792,".",1.76,1.91,90904670,90904797,35.76313,90904669,90904799,37.29482,"Promoter",2,90904740,90910561,5822,1,"67136","ENSMUST00000111464","7",0,"ENSMUSG00000005505"
"97","chr2",130284397,130284529,133,"*",".",827,".",1.9,1.99,130284396,130284525,35.76313,130284414,130284529,43.91402,"Promoter",2,130282145,130284434,2290,2,"170718","ENSMUST00000149843","1",0,"ENSMUSG00000027406"
"98","chr14",20347976,20348229,254,"*",".",842,".",1.97,2.03,20348060,20348207,35.25414,20347975,20348229,56.29449,"Promoter",14,20348162,20365244,17083,1,"105428","ENSMUST00000224930","1",0,"ENSMUSG00000039599"
"99","chr18",37644155,37644293,139,"*",".",768,".",1.67,1.85,37644154,37644276,34.77695,37644156,37644293,34.71858,"Promoter",18,37640491,37644204,3714,2,"24074","ENSMUST00000066272","5",0,"ENSMUSG00000051316"
"100","chr15",76925410,76925936,527,"*",".",841,".",1.97,2.03,76925427,76925845,34.62773,76925409,76925936,55.6149,"Promoter",15,76910371,76925448,15078,2,"239546","ENSMUST00000229055","1",0,"ENSMUSG00000054967"
"101","chr2",180257208,180257444,237,"*",".",837,".",1.94,2.02,180257237,180257436,34.5895,180257207,180257444,49.37863,"Promoter",2,180257377,180258445,1069,1,"66481","ENSMUST00000059080","6",0,"ENSMUSG00000039001"
"102","chr6",86438467,86438739,273,"*",".",810,".",1.83,1.95,86438584,86438739,34.5895,86438466,86438736,40.14103,"Promoter",6,86438692,86470388,31697,1,"232196","ENSMUST00000113700","7",0,"ENSMUSG00000046679"
"103","chr2",25255353,25255516,164,"*",".",713,".",1.46,1.72,25255359,25255478,42.54952,25255352,25255516,34.56402,"Promoter",2,25255439,25256292,854,1,"227615","ENSMUST00000104998","4",0,"ENSMUSG00000078201"
"104","chr3",36065923,36066087,165,"*",".",752,".",1.59,1.81,36065934,36066074,37.40002,36065922,36066087,34.53811,"Promoter",3,36065979,36092853,26875,1,"229211","ENSMUST00000011492","14",0,"ENSMUSG00000027710"
"105","chr6",71831153,71831376,224,"*",".",741,".",1.56,1.79,71831157,71831303,39.80336,71831152,71831376,34.53811,"Promoter",6,71831331,71875244,43914,1,"76614","ENSMUST00000064062","12",0,"ENSMUSG00000052337"
"106","chr19",8953714,8954034,321,"*",".",835,".",1.93,2.01,8953718,8953929,34.43851,8953713,8954034,72.51795,"Promoter",19,8953847,8966210,12364,1,"70044","ENSMUST00000096239","6",0,"ENSMUSG00000071645"
"107","chr4",41124399,41124554,156,"*",".",818,".",1.85,1.97,41124410,41124541,34.43851,41124398,41124554,41.23689,"Promoter",4,41114427,41124455,10029,2,"230082","ENSMUST00000030138","8",0,"ENSMUSG00000028430"
"108","chr18",12955731,12955855,125,"*",".",836,".",1.94,2.01,12955741,12955853,34.1271,12955730,12955855,48.75028,"Promoter",18,12955852,12984312,28461,1,"16210","ENSMUST00000234763","1",0,"ENSMUSG00000024423"
"109","chr15",98831364,98831591,228,"*",".",825,".",1.89,1.99,98831386,98831583,33.73178,98831363,98831591,43.83499,"Promoter",15,98812797,98831521,18725,2,"19082","ENSMUST00000168846","2",0,"ENSMUSG00000067713"
"110","chr10",76468804,76468967,164,"*",".",839,".",1.95,2.02,76468803,76468950,33.38642,76468818,76468967,58.74068,"Promoter",10,76468927,76515857,46931,1,"54387","ENSMUST00000170795","2",0,"ENSMUSG00000001150"
"111","chr2",23156418,23156562,145,"*",".",793,".",1.77,1.91,23156426,23156561,33.38642,23156417,23156562,37.29482,"Promoter",2,23156518,23177068,20551,1,"27377","ENSMUST00000125004","7",0,"ENSMUSG00000026775"
"112","chr9",65345973,65346135,163,"*",".",778,".",1.71,1.87,65345972,65346108,33.38642,65345978,65346135,35.64154,"Promoter",9,65346104,65359643,13540,1,"50996","ENSMUST00000048184","3",0,"ENSMUSG00000041837"
"113","chr17",34836779,34837140,362,"*",".",682,".",1.32,1.64,34836875,34837140,45.33555,34836778,34837129,33.34326,"Promoter",17,34837019,34838648,1630,1,"112403","ENSMUST00000173874","7",0,"ENSMUSG00000040482"
"114","chr18",31911256,31911389,134,"*",".",815,".",1.84,1.96,31911255,31911378,33.12545,31911258,31911389,40.83545,"Promoter",18,31909098,31911824,2727,2,"67158","ENSMUST00000054984","7",435,"ENSMUSG00000044982"
"115","chr4",133584282,133584408,127,"*",".",756,".",1.62,1.82,133584286,133584406,33.12545,133584281,133584408,33.44677,"Promoter",4,133584362,133591735,7374,1,"100210","ENSMUST00000030661","13",0,"ENSMUSG00000028848"
"116","chr5",118155386,118155564,179,"*",".",818,".",1.85,1.97,118155400,118155564,33.12545,118155385,118155528,41.23689,"Promoter",5,118064965,118155464,90500,2,"231672","ENSMUST00000049474","8",0,"ENSMUSG00000032867"
"117","chr5",144014858,144015013,156,"*",".",780,".",1.72,1.88,144014869,144014994,33.12545,144014857,144015013,36.00135,"Promoter",5,144009222,144014877,5656,2,"231874","ENSMUST00000197555","1",0,"ENSMUSG00000029617"
"118","chr15",102331641,102331939,299,"*",".",827,".",1.9,1.99,102331641,102331742,33.00936,102331640,102331939,45.12965,"Promoter",15,102331709,102338139,6431,1,"60315","ENSMUST00000113682","8",0,"ENSMUSG00000001285"
"119","chr1",167308593,167308809,217,"*",".",672,".",1.29,1.62,167308592,167308788,45.33555,167308606,167308809,32.9497,"Promoter",1,167308670,167330785,22116,1,"68944","ENSMUST00000193446","5",0,"ENSMUSG00000052428"
