Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR9655390	8214246.0	113.0	7642969.0	93.05	111.02	7142024.0	7098884.0	7041224.0	54519.0	2599.0	43682.0	0.24	0.08	1.11	0.14	1.21	245441.0	2.99	3566.0	0.04	0.0	3.88	0.04	0	318982	3288
SRR9655391	7283874.0	113.0	6779940.0	93.08	111.19	6260598.0	6225061.0	6179412.0	43878.0	2201.0	35107.0	0.24	0.07	1.11	0.17	1.21	225278.0	3.09	4439.0	0.06	0.0	3.7	0.06	0	269841	4376
SRR9655392	7712282.0	113.0	7271216.0	94.28	111.92	6846611.0	6808724.0	6753742.0	53280.0	2516.0	37073.0	0.21	0.06	1.11	0.14	1.2	206531.0	2.68	2863.0	0.04	0.0	2.98	0.02	0	230128	1544
SRR9655393	5721694.0	111.0	5335392.0	93.25	110.3	4905670.0	4871933.0	4838985.0	31539.0	1752.0	33394.0	0.29	0.07	1.12	0.17	1.21	164139.0	2.87	2270.0	0.04	0.0	3.81	0.03	0	218175	1718
SRR9655394	9254202.0	112.0	8597787.0	92.91	111.56	8017497.0	7984331.0	7924708.0	57283.0	3057.0	32449.0	0.21	0.07	1.11	0.15	1.21	337132.0	3.64	4252.0	0.05	0.0	3.36	0.04	0	311325	3706
SRR9655395	8063790.0	113.0	7504890.0	93.07	111.47	6997291.0	6954341.0	6889250.0	63341.0	2315.0	42385.0	0.25	0.07	1.11	0.15	1.2	282882.0	3.51	3749.0	0.05	0.0	3.33	0.04	0	269037	3232
SRR9655396	8186642.0	112.0	7684544.0	93.87	111.6	7186506.0	7153926.0	7097231.0	53438.0	2839.0	32998.0	0.22	0.06	1.1	0.14	1.21	236537.0	2.89	3486.0	0.04	0.0	3.16	0.04	0	258799	3276
SRR9655397	8438865.0	112.0	7938260.0	94.07	111.77	7391645.0	7358160.0	7291907.0	64286.0	2736.0	32716.0	0.21	0.07	1.11	0.14	1.21	244495.0	2.9	4094.0	0.05	0.0	2.94	0.05	0	247802	4214
SRR9655398	7369410.0	112.0	6853166.0	92.99	111.43	6447953.0	6420113.0	6370297.0	47652.0	2376.0	27628.0	0.23	0.07	1.1	0.13	1.21	302137.0	4.1	2891.0	0.04	0.0	2.83	0.04	0	208272	2944
SRR9655399	6326882.0	111.0	5899352.0	93.24	110.49	5487406.0	5454928.0	5410979.0	42334.0	1720.0	32373.0	0.25	0.08	1.11	0.16	1.22	196516.0	3.11	2907.0	0.05	0.0	3.57	0.03	0	226206	1901
SRR9655400	5017201.0	111.0	4644620.0	92.57	110.29	4245654.0	4223447.0	4191916.0	30667.0	1595.0	21476.0	0.26	0.08	1.11	0.16	1.22	184316.0	3.67	2866.0	0.06	0.0	3.64	0.05	0	182887	2512
SRR9655401	6674160.0	111.0	6154865.0	92.22	110.31	5591542.0	5561337.0	5514834.0	45285.0	2243.0	29180.0	0.28	0.07	1.12	0.18	1.22	227746.0	3.41	5374.0	0.08	0.0	4.19	0.09	0	280157	6018
SRR9655402	8794799.0	112.0	8265160.0	93.98	111.53	7695268.0	7650517.0	7581977.0	65335.0	3028.0	44928.0	0.22	0.07	1.11	0.14	1.21	242382.0	2.76	4069.0	0.05	0.0	3.18	0.04	0	279670	3518
SRR9655403	7225726.0	112.0	6765066.0	93.62	110.83	6317588.0	6285591.0	6237369.0	46777.0	2239.0	31203.0	0.22	0.06	1.1	0.15	1.2	201283.0	2.79	3320.0	0.05	0.0	3.49	0.05	0	252440	3617
SRR9655404	6518665.0	112.0	5977665.0	91.7	110.85	5582565.0	5557400.0	5509653.0	45995.0	2141.0	24776.0	0.22	0.06	1.1	0.15	1.2	320247.0	4.91	2584.0	0.04	0.0	3.3	0.05	0	214913	3256
SRR9655405	6513729.0	113.0	6107075.0	93.76	111.32	5716164.0	5685602.0	5632756.0	45191.0	2028.0	36189.0	0.22	0.07	1.11	0.14	1.21	193008.0	2.96	2400.0	0.04	0.0	3.21	0.03	0	209290	1956
SRR9655406	7026590.0	112.0	6578901.0	93.63	111.2	6013145.0	5985114.0	5935864.0	47008.0	2374.0	27899.0	0.23	0.06	1.11	0.14	1.21	208810.0	2.97	4156.0	0.06	0.0	3.27	0.07	0	229804	4919
SRR9655407	6973909.0	113.0	6445434.0	92.42	110.96	5988805.0	5961567.0	5906200.0	53835.0	2138.0	26632.0	0.26	0.07	1.11	0.16	1.21	225773.0	3.24	3165.0	0.05	0.0	4.24	0.05	0	296046	3491
SRR9655408	8070866.0	112.0	7563100.0	93.71	111.21	6964192.0	6924902.0	6862319.0	60606.0	2586.0	38681.0	0.23	0.06	1.11	0.15	1.21	235060.0	2.91	3741.0	0.05	0.0	3.28	0.05	0	264926	4039
SRR9655409	6365684.0	112.0	5976026.0	93.88	111.17	5607108.0	5581142.0	5535957.0	43534.0	1832.0	25785.0	0.2	0.07	1.1	0.14	1.21	184738.0	2.9	2233.0	0.04	0.0	3.15	0.04	0	200145	2542
SRR9655410	6496813.0	111.0	6012050.0	92.54	110.0	5505262.0	5474505.0	5428376.0	44653.0	2060.0	30173.0	0.26	0.07	1.12	0.16	1.22	208170.0	3.2	2975.0	0.05	0.0	4.17	0.04	0	271018	2600
SRR9655411	7075196.0	111.0	6596490.0	93.23	110.03	6118562.0	6076757.0	6031836.0	42968.0	2319.0	41439.0	0.27	0.07	1.11	0.15	1.22	201103.0	2.84	3321.0	0.05	0.0	3.83	0.05	0	270747	3535
SRR9655412	6941011.0	112.0	6473846.0	93.27	110.63	5980415.0	5939643.0	5895613.0	42313.0	2174.0	40315.0	0.26	0.08	1.11	0.15	1.22	208528.0	3.0	3546.0	0.05	0.0	3.63	0.05	0	251625	3466
SRR9655413	7356882.0	111.0	6785130.0	92.23	110.1	6271992.0	6229990.0	6178878.0	48588.0	2238.0	42288.0	0.27	0.08	1.11	0.15	1.22	243738.0	3.31	3995.0	0.05	0.0	4.35	0.05	0	320337	3682
